destination,baseline_stage,baseline_percentile,adjusted_probability,bootstrap_lower,bootstrap_upper,eligible_contestants,events,bootstrap_replicates
APMO,EMIC,0.7857142857142856,0.0887391952314593,0.05300861958004084,0.11004726607065354,1062,86,80
APMO,EMIC,0.7995918367346938,0.09436840014680231,0.05776450554400371,0.1167888603534973,1062,86,80
APMO,EMIC,0.813469387755102,0.10059172781606379,0.06307453738489512,0.12415201742850192,1062,86,80
APMO,EMIC,0.8273469387755101,0.10746685197697853,0.06900416048204297,0.13218838141833492,1062,86,80
APMO,EMIC,0.8412244897959182,0.11505648471717439,0.07453527845411069,0.14096607271565145,1062,86,80
APMO,EMIC,0.8551020408163263,0.12342841164002595,0.07955542140062097,0.15297668782492516,1062,86,80
APMO,EMIC,0.8689795918367347,0.13265539079306837,0.0851185658801484,0.16652144633821073,1062,86,80
APMO,EMIC,0.8828571428571428,0.14281486916464567,0.09128268409965505,0.18154196368045203,1062,86,80
APMO,EMIC,0.8967346938775509,0.1539884621405408,0.09805586268921836,0.19816407590503524,1062,86,80
APMO,EMIC,0.910612244897959,0.16626113348753582,0.10542896030692632,0.21540652900093288,1062,86,80
APMO,EMIC,0.9244897959183673,0.17972000743614794,0.1135715839596729,0.23776006749514372,1062,86,80
APMO,EMIC,0.9383673469387754,0.19445274197589826,0.12255914679737599,0.26375878935991137,1062,86,80
APMO,EMIC,0.9522448979591835,0.2105453957056879,0.13247227493346686,0.2852345476499916,1062,86,80
APMO,EMIC,0.9661224489795917,0.22807973197705886,0.14339629509509072,0.3103666595296164,1062,86,80
APMO,EMIC,0.98,0.2471299261754075,0.15378785293041008,0.33904549447613597,1062,86,80
APMO,IWYMIC,0.3,0.022857603064350803,0.005107725166329508,0.05164294929976527,692,89,80
APMO,IWYMIC,0.31387755102040815,0.024562761066090028,0.006024614451272847,0.052292437840504156,692,89,80
APMO,IWYMIC,0.3277551020408163,0.02638027127325531,0.007077654066925081,0.05302761370115946,692,89,80
APMO,IWYMIC,0.3416326530612245,0.028315859735255664,0.007660951704905245,0.05382620577428471,692,89,80
APMO,IWYMIC,0.35551020408163264,0.030375367795679037,0.008198429711200666,0.053446021352222324,692,89,80
APMO,IWYMIC,0.3693877551020408,0.03256473765673743,0.008781705021702675,0.054587456803928236,692,89,80
APMO,IWYMIC,0.38326530612244897,0.03488999693739286,0.009415035639888582,0.05584565995851146,692,89,80
APMO,IWYMIC,0.39714285714285713,0.037357242418536,0.010390744949132587,0.05722668020408889,692,89,80
APMO,IWYMIC,0.4110204081632653,0.03997262319446409,0.011503611276875741,0.0587371817774614,692,89,80
APMO,IWYMIC,0.42489795918367346,0.04274232346877952,0.012995919854676295,0.061517585484576,692,89,80
APMO,IWYMIC,0.43877551020408156,0.045672545242685776,0.014749825800106134,0.0632796874182371,692,89,80
APMO,IWYMIC,0.4526530612244898,0.048769491142647406,0.016410028075764214,0.06517965983348464,692,89,80
APMO,IWYMIC,0.4665306122448979,0.052039347620985714,0.0171995350737892,0.06722513472781651,692,89,80
APMO,IWYMIC,0.4804081632653061,0.05548826873615541,0.018732477804552755,0.070088311702033,692,89,80
APMO,IWYMIC,0.4942857142857142,0.059122360678757056,0.020558791841556432,0.07490347212909555,692,89,80
