combined_id,name_clean,name_last_first,country_clean,contest,year,official_name,official_name_last_first,official_country,official_country_code,official_person_id,score,medal,rank_start,rank_end,rank_average,percentile,total_participants,match_method,source_url
2263,Samitha Yohan Abeysinghe Wijepala Abeysinghe Mudiyanselage,"Wijepala Abeysinghe Mudiyanselage, Samitha Yohan Abeysinghe",Sri Lanka,IMO,2014,Samitha Yohan Abeysinghe Wijepala Abeysinghe Mudiyanselage,"Wijepala Abeysinghe Mudiyanselage, Samitha Yohan Abeysinghe",Sri Lanka,LKA,25153,14,Honourable Mention,321,360,340.5,0.3919642857,560,same_country_exact,https://www.imo-official.org/results/individual/year/2014/
2263,Samitha Yohan Abeysinghe Wijepala Abeysinghe Mudiyanselage,"Wijepala Abeysinghe Mudiyanselage, Samitha Yohan Abeysinghe",Sri Lanka,IMO,2015,Samitha Yohan Abeysinghe Wijepala Abeysinghe Mudiyanselage,"Wijepala Abeysinghe Mudiyanselage, Samitha Yohan Abeysinghe",Sri Lanka,LKA,25153,10,Honourable Mention,337,364,350.5,0.3925476603,577,same_country_exact,https://www.imo-official.org/results/individual/year/2015/
2263,Samitha Yohan Abeysinghe Wijepala Abeysinghe Mudiyanselage,"Wijepala Abeysinghe Mudiyanselage, Samitha Yohan Abeysinghe",Sri Lanka,IMO,2016,Samitha Yohan Abeysinghe Wijepala Abeysinghe Mudiyanselage,"Wijepala Abeysinghe Mudiyanselage, Samitha Yohan Abeysinghe",Sri Lanka,LKA,25153,14,Honourable Mention,312,354,333,0.4468438538,602,same_country_exact,https://www.imo-official.org/results/individual/year/2016/
2263,Samitha Yohan Abeysinghe Wijepala Abeysinghe Mudiyanselage,"Wijepala Abeysinghe Mudiyanselage, Samitha Yohan Abeysinghe",Sri Lanka,IMO,2017,Samitha Yohan Abeysinghe Wijepala Abeysinghe Mudiyanselage,"Wijepala Abeysinghe Mudiyanselage, Samitha Yohan Abeysinghe",Sri Lanka,LKA,25153,16,Bronze,265,291,278,0.5479674797,615,same_country_exact,https://www.imo-official.org/results/individual/year/2017/
2264,Pathirannahelage Mevan Niluminda Wijewardena,"Wijewardena, Pathirannahelage Mevan Niluminda",Sri Lanka,IMO,2013,Pathirannahelage Mevan Niluminda Wijewardena,"Wijewardena, Pathirannahelage Mevan Niluminda",Sri Lanka,LKA,20851,16,Bronze,234,249,241.5,0.5417457306,527,same_country_exact,https://www.imo-official.org/results/individual/year/2013/
2264,Pathirannahelage Mevan Niluminda Wijewardena,"Wijewardena, Pathirannahelage Mevan Niluminda",Sri Lanka,IMO,2014,Pathirannahelage Mevan Niluminda Wijewardena,"Wijewardena, Pathirannahelage Mevan Niluminda",Sri Lanka,LKA,20851,20,Bronze,200,220,210,0.625,560,same_country_exact,https://www.imo-official.org/results/individual/year/2014/
2264,Pathirannahelage Mevan Niluminda Wijewardena,"Wijewardena, Pathirannahelage Mevan Niluminda",Sri Lanka,IMO,2016,Pathirannahelage Mevan Niluminda Wijewardena,"Wijewardena, Pathirannahelage Mevan Niluminda",Sri Lanka,LKA,20851,18,Bronze,206,223,214.5,0.6436877076,602,same_country_exact,https://www.imo-official.org/results/individual/year/2016/
2269,Chi-An Chang,"Chang, Chi-An",Taiwan,IMO,2022,Chi-An Chang,"Chang, Chi-An",Taiwan,TWN,31817,27,Bronze,187,213,200,0.6604414261,589,same_country_exact,https://www.imo-official.org/results/individual/year/2022/
2269,Chi-An Chang,"Chang, Chi-An",Taiwan,IMO,2023,Chi-An Chang,"Chang, Chi-An",Taiwan,TWN,31817,31,Silver,55,70,62.5,0.8988673139,618,same_country_exact,https://www.imo-official.org/results/individual/year/2023/
2269,Chi-An Chang,"Chang, Chi-An",Taiwan,IMO,2024,Chi-An Chang,"Chang, Chi-An",Taiwan,TWN,31817,21,Bronze,182,215,198.5,0.6740558292,609,same_country_exact,https://www.imo-official.org/results/individual/year/2024/
2278,Po-Shen Chang,"Chang, Po-Shen",Taiwan,IMO,2022,Po-Shen Chang,"Chang, Po-Shen",Taiwan,TWN,31818,27,Bronze,187,213,200,0.6604414261,589,same_country_exact,https://www.imo-official.org/results/individual/year/2022/
