year,medal,medal_bucket_size,rank_start,rank_end,rank_average,percentile,first_country,last_country,country_sequence
2018,Bronze,28,83,110,96.5,0.6926751592,Bulgaria,Russian Federation,Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Hong Kong;Hong Kong;Hong Kong;Indonesia;Indonesia;Indonesia;Islamic Republic of Iran;Nepal;Nepal;Philippines;Russian Federation;Russian Federation;Sri Lanka;Taiwan;Taiwan;Tajikistan;Thailand;Thailand;Thailand;Uzbekistan;Vietnam;Russian Federation
2018,Merit,42,111,152,131.5,0.5812101911,Bulgaria,Vietnam,Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Canada;Hong Kong;Hong Kong;Hong Kong;Indonesia;Indonesia;Indonesia;Indonesia;Indonesia;Islamic Republic of Iran;Islamic Republic of Iran;Islamic Republic of Iran;Islamic Republic of Iran;Islamic Republic of Iran;Kazakhstan;Kazakhstan;Kazakhstan;Kazakhstan;Kazakhstan;Macau;Philippines;Philippines;Sri Lanka;Sri Lanka;Taiwan;Tajikistan;Tajikistan;Thailand;Thailand;Thailand;Thailand;Thailand;Vietnam;Vietnam;Vietnam
2018,Merit,50,153,202,177.5,0.4347133758,Bulgaria,Malaysia,Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Canada;People's Republic of China;Cyprus;Hong Kong;Hong Kong;Indonesia;Indonesia;Indonesia;Kazakhstan;Kazakhstan;Republic of Korea;Macau;Macau;Macau;Macau;Mexico;Mexico;Philippines;Philippines;Philippines;Russian Federation;South Africa;Sri Lanka;Taiwan;Taiwan;Tajikistan;Tajikistan;Tajikistan;Tajikistan;Thailand;Thailand;Ukraine;Ukraine;Ukraine;Ukraine;Ukraine;Vietnam;Philippines;Malaysia
2019,Gold,7,1,7,4,0.9843137255,Bulgaria,Vietnam,Bulgaria;Bulgaria;People's Republic of China;People's Republic of China;Thailand;Vietnam;Vietnam
2019,Gold,14,8,21,14.5,0.9431372549,Bulgaria,Vietnam,Bulgaria;Bulgaria;People's Republic of China;People's Republic of China;Hong Kong;Hong Kong;Hong Kong;Indonesia;Kazakhstan;Mexico;Taiwan;Thailand;Uzbekistan;Vietnam
2019,Silver,17,22,38,30,0.8823529412,Bulgaria,Vietnam,Bulgaria;Bulgaria;Bulgaria;Bulgaria;People's Republic of China;Hong Kong;Hong Kong;Hong Kong;Indonesia;Macau;Philippines;Philippines;Sri Lanka;Thailand;Thailand;Vietnam;Vietnam
2019,Silver,18,39,56,47.5,0.8137254902,Bulgaria,Vietnam,Bulgaria;Bulgaria;Bulgaria;Bulgaria;Indonesia;Macau;Macau;Malaysia;Mexico;Philippines;Philippines;Thailand;Thailand;Thailand;Thailand;Vietnam;Vietnam;Vietnam
2019,Bronze,20,57,76,66.5,0.7392156863,Bulgaria,Uzbekistan,Bulgaria;Bulgaria;Bulgaria;Hong Kong;Hong Kong;Hong Kong;India;Kazakhstan;Kazakhstan;Republic of Korea;Macau;Malaysia;Philippines;Philippines;Taiwan;Thailand;Thailand;Thailand;Thailand;Uzbekistan
2019,Bronze,21,77,97,87,0.6588235294,Cyprus,South Africa,Cyprus;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Indonesia;Islamic Republic of Iran;Kazakhstan;Macau;Macau;Philippines;Philippines;Philippines;Philippines;Romania;Sri Lanka;Taiwan;Thailand;Uzbekistan;South Africa;South Africa
2019,Merit,23,98,120,109,0.5725490196,Bulgaria,Thailand,Bulgaria;Bulgaria;People's Republic of China;Hong Kong;Hong Kong;Islamic Republic of Iran;Islamic Republic of Iran;Islamic Republic of Iran;Islamic Republic of Iran;Islamic Republic of Iran;Macau;Malaysia;Mexico;Philippines;Philippines;Sri Lanka;Sri Lanka;Taiwan;Taiwan;Taiwan;Taiwan;Thailand;Thailand
2019,Merit,21,121,141,131,0.4862745098,Bulgaria,Tunisia,Bulgaria;Bulgaria;Hong Kong;Islamic Republic of Iran;Islamic Republic of Iran;Islamic Republic of Iran;Islamic Republic of Iran;Islamic Republic of Iran;Islamic Republic of Iran;Kazakhstan;Republic of Korea;Philippines;Romania;Romania;Romania;Taiwan;Taiwan;Taiwan;Taiwan;Thailand;Tunisia
